   BENCHMARK INFORMATION
benchmark definition:    java-ranger-svcomp.xml
name:                    java-ranger-svcomp
run sets:                SVCOMP-ReachSafety-Java.ReachSafety-Java
date:                    Wed, 2026-07-01 20:20:56 +01
tool:                    Java Ranger 2025
tool executable:         /home/salmane/bin/jr-sv-comp
options:
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             4
hardware requirements:
- cpu cores:             4
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    salmane-VivoBook-ASUSLaptop-X515EP-X515EP
os:                      Linux-6.17.0-35-generic-x86_64-with-glibc2.39
cpu:                     11th Gen Intel Core i5-1135G7 @ 2.40GHz
- cores:                 8
- max frequency:         4200.0 MHz
- turbo boost enabled:   True
ram:                     8005.804032 MB
------------------------------------------------------------



SVCOMP-ReachSafety-Java.ReachSafety-Java
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                                                               status                       cpu time   wall time        host
jbmc-regression/StringBuilderConstructors02.yml                                                                         unknown                          2.72        1.14        None
jbmc-regression/StringBuilderInsertDelete01.yml                                                                         true                             2.81        1.21        None
jbmc-regression/StringBuilderInsertDelete02.yml                                                                         unknown                          2.72        1.13        None
jbmc-regression/StringBuilderInsertDelete03.yml                                                                         unknown                          2.70        1.13        None
jbmc-regression/StringCompare01.yml                                                                                     true                             2.64        1.12        None
jbmc-regression/StringCompare02.yml                                                                                     unknown                          2.67        1.12        None
jbmc-regression/StringCompare03.yml                                                                                     unknown                          2.54        1.09        None
jbmc-regression/StringCompare04.yml                                                                                     unknown                          2.65        1.13        None
jbmc-regression/StringCompare05.yml                                                                                     false                            9.12        3.11        None
jbmc-regression/StringConcatenation01.yml                                                                               true                             3.44        1.54        None
jbmc-regression/StringConcatenation02.yml                                                                               false                            3.17        1.32        None
jbmc-regression/StringConcatenation03.yml                                                                               false                            3.04        1.28        None
jbmc-regression/StringConcatenation04.yml                                                                               false                            3.12        1.33        None
jbmc-regression/StringConstructors01.yml                                                                                true                             2.66        1.12        None
jbmc-regression/StringConstructors02.yml                                                                                false                            3.22        1.34        None
jbmc-regression/StringConstructors03.yml                                                                                false                            3.01        1.27        None
jbmc-regression/StringConstructors04.yml                                                                                false                            3.05        1.31        None
jbmc-regression/StringConstructors05.yml                                                                                false                            3.02        1.27        None
jbmc-regression/StringContains01.yml                                                                                    false                            3.06        1.30        None
jbmc-regression/StringContains02.yml                                                                                    false                            3.09        1.31        None
jbmc-regression/StringIndexMethods01.yml                                                                                true                             2.79        1.30        None
